City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
213,Cape Town,40,ZA,2021-07-08 17:32:25,83,-33.9258,18.4232,53.11,5.99
214,Dongsheng,43,CN,2021-07-08 17:35:00,30,39.8161,109.9776,74.8,9.15
215,Laizhou,31,CN,2021-07-08 17:35:00,87,37.1717,119.9214,74.03,7.7
216,Guangyuan,38,CN,2021-07-08 17:35:01,96,32.442,105.823,74.71,2.53
217,Saldanha,98,ZA,2021-07-08 17:35:01,67,-33.0117,17.9442,51.85,16.6
218,Gat,0,IL,2021-07-08 17:31:01,23,31.61,34.7642,84.4,7.16
219,Matara,81,LK,2021-07-08 17:35:01,88,5.9485,80.5353,78.85,11.83
220,Upernavik,69,GL,2021-07-08 17:35:02,86,72.7868,-56.1549,36.91,1.95
221,Ponta Delgada,20,PT,2021-07-08 17:35:02,78,37.7333,-25.6667,74.12,11.5
222,Puerto Escondido,75,MX,2021-07-08 17:35:03,58,15.85,-97.0667,86.83,0.0
223,Mayo,1,US,2021-07-08 17:35:03,71,38.8876,-76.5119,89.47,1.01
224,Sao Filipe,58,CV,2021-07-08 17:35:04,76,14.8961,-24.4956,76.91,12.24
225,Jijiga,78,ET,2021-07-08 17:35:04,76,9.35,42.8,63.91,16.84
226,Ornes,100,NO,2021-07-08 17:35:04,91,66.8689,13.7078,61.56,9.84
227,Manicore,20,BR,2021-07-08 17:35:05,62,-5.8092,-61.3003,87.75,6.91
228,Hithadhoo,100,MV,2021-07-08 17:35:05,80,-0.6,73.0833,79.54,18.59
229,Coroico,64,BO,2021-07-08 17:35:05,57,-16.1889,-67.7271,86.74,4.32
230,Muisne,99,EC,2021-07-08 17:35:05,84,0.6,-80.0333,86.11,11.52
231,Maniitsoq,14,GL,2021-07-08 17:35:06,75,65.4167,-52.9,43.59,11.16
232,Poum,76,NC,2021-07-08 17:35:06,69,-20.2333,164.0167,70.9,15.73
233,Belmonte,2,BR,2021-07-08 17:35:06,59,-15.8631,-38.8828,78.8,9.86
234,Codrington,91,AU,2021-07-08 17:35:07,87,-38.2667,141.9667,39.45,4.27
235,Necochea,92,AR,2021-07-08 17:35:07,72,-38.5473,-58.7368,63.39,12.08
236,Isangel,62,VU,2021-07-08 17:34:08,73,-19.55,169.2667,69.73,12.77
237,Saint-Leu,7,RE,2021-07-08 17:35:07,92,-21.15,55.2833,70.66,5.48
238,Tilichiki,11,RU,2021-07-08 17:35:08,78,60.4667,166.1,54.81,1.88
239,Tarboro,90,US,2021-07-08 17:35:08,94,35.8968,-77.5358,76.98,16.11
240,San Fernando,27,PH,2021-07-08 17:35:08,84,15.0286,120.6898,84.22,3.58
241,Mokhsogollokh,1,RU,2021-07-08 17:35:08,71,61.4681,128.9203,65.52,3.27
242,Veinticinco De Mayo,7,AR,2021-07-08 17:35:09,89,-35.4323,-60.1727,69.06,3.0
243,Miles City,20,US,2021-07-08 17:35:09,53,46.4083,-105.8406,79.77,4.61
244,Altay,15,CN,2021-07-08 17:35:09,57,47.8667,88.1167,67.01,3.91
245,Shubarkuduk,83,KZ,2021-07-08 17:35:10,61,49.1447,56.4872,62.65,20.33
246,Pochutla,100,MX,2021-07-08 17:35:10,63,15.7432,-96.4661,88.83,4.74
247,Lebu,100,CL,2021-07-08 17:35:10,94,-37.6167,-73.65,54.39,19.82
248,Geraldton,90,AU,2021-07-08 17:35:10,88,-28.7667,114.6,59.41,5.75
249,Ukiah,1,US,2021-07-08 17:35:11,36,39.1502,-123.2078,97.12,3.44
250,Tsiroanomandidy,46,MG,2021-07-08 17:35:11,58,-18.7667,46.0333,64.22,3.31
251,Drayton Valley,0,CA,2021-07-08 17:35:11,43,53.2168,-114.9854,72.91,5.17
252,Mount Isa,97,AU,2021-07-08 17:35:12,40,-20.7333,139.5,49.77,5.75
