City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Description,Date
138,Surgut,61.25,73.4167,50.18,81,0,6.71,clear sky,2021-07-11 18:26:46
139,Mehamn,71.0357,27.8492,48.11,76,5,12.26,clear sky,2021-07-11 18:26:46
140,Kerema,-7.9631,145.7785,77.45,92,88,1.5,overcast clouds,2021-07-11 18:26:46
141,Suez,29.9737,32.5263,84.9,48,2,15.35,clear sky,2021-07-11 18:26:47
142,Tasiilaq,65.6145,-37.6368,46.56,98,100,11.79,light rain,2021-07-11 18:24:39
143,San Andres,12.5847,-81.7006,82.42,78,75,17.27,broken clouds,2021-07-11 18:20:12
144,Finspang,58.7058,15.7674,75.11,53,44,3.94,scattered clouds,2021-07-11 18:26:47
145,Phalombe,-15.8064,35.6507,61.27,78,57,3.56,broken clouds,2021-07-11 18:26:47
146,Kirakira,-10.4544,161.9205,78.04,87,71,7.99,broken clouds,2021-07-11 18:26:48
147,Lompoc,34.6391,-120.4579,91.22,66,1,14.97,clear sky,2021-07-11 18:25:48
148,Saint-Francois,46.4154,3.9054,75.67,57,0,8.05,clear sky,2021-07-11 18:26:48
149,San Cristobal,7.7669,-72.225,80.78,56,88,7.23,overcast clouds,2021-07-11 18:23:53
150,Avarua,-21.2078,-159.775,75.25,88,75,9.22,broken clouds,2021-07-11 18:25:51
151,Nome,64.5011,-165.4064,52.16,77,90,6.91,overcast clouds,2021-07-11 18:24:33
152,Chicama,-7.8447,-79.1469,64.94,62,70,8.7,broken clouds,2021-07-11 18:17:15
153,Nushki,29.5542,66.0215,91.49,32,58,5.17,broken clouds,2021-07-11 18:26:49
154,Cabatuan,10.8794,122.486,76.84,89,77,5.23,broken clouds,2021-07-11 18:26:49
155,Teguise,29.0605,-13.564,73.62,83,88,4.61,overcast clouds,2021-07-11 18:26:50
156,Samarai,-10.6167,150.6667,78.53,86,97,11.83,overcast clouds,2021-07-11 18:26:13
157,Kaeo,-35.1,173.7833,55.33,97,100,22.03,overcast clouds,2021-07-11 18:26:51
158,Mahibadhoo,3.7833,72.9667,82.38,79,96,13.71,overcast clouds,2021-07-11 18:24:51
159,Naze,28.3667,129.4833,77.9,85,99,6.96,overcast clouds,2021-07-11 18:26:51
160,Port Macquarie,-31.4333,152.9167,48.38,82,70,4.76,broken clouds,2021-07-11 18:26:52
161,Dharchula,29.85,80.5333,73.24,97,100,1.01,overcast clouds,2021-07-11 18:26:52
162,Gat,31.61,34.7642,82.4,100,0,7.07,clear sky,2021-07-11 18:26:31
163,Umm Lajj,25.0213,37.2685,88.36,51,6,6.2,clear sky,2021-07-11 18:25:37
164,Dehloran,32.6941,47.2679,102.97,7,0,10.45,clear sky,2021-07-11 18:26:52
165,Agirish,61.9247,63.0231,57.22,51,17,2.66,few clouds,2021-07-11 18:26:53
166,Mercedes,-34.6515,-59.4307,64.85,29,2,8.03,clear sky,2021-07-11 18:26:53
167,Cabo San Lucas,22.8909,-109.9124,96.8,55,1,8.05,clear sky,2021-07-11 18:23:26
168,Atar,20.5169,-13.0499,94.35,24,29,14.72,scattered clouds,2021-07-11 18:25:24
169,Sur,22.5667,59.5289,91.35,58,60,7.78,broken clouds,2021-07-11 18:21:18
170,Georgetown,5.4112,100.3354,75.88,94,40,3.44,light rain,2021-07-11 18:19:58
171,Camacha,33.0833,-16.3333,77.76,78,75,12.66,broken clouds,2021-07-11 18:19:43
172,Port Pirie,-33.1833,138.0167,46.49,70,13,8.7,few clouds,2021-07-11 18:26:54
173,Vila Velha,-20.3297,-40.2925,76.95,61,0,10.36,clear sky,2021-07-11 18:26:54
174,Venado,22.9333,-101.0833,66.9,62,100,7.92,overcast clouds,2021-07-11 18:26:55
175,Waipawa,-41.4122,175.5153,36.3,82,100,0.98,overcast clouds,2021-07-11 18:26:55
176,Sitka,57.0531,-135.33,57.09,67,90,3.44,overcast clouds,2021-07-11 18:26:03
177,Hamilton,39.1834,-84.5333,79.25,88,75,1.01,broken clouds,2021-07-11 18:25:24
178,Chakia,26.4167,85.05,82.4,77,97,10.04,overcast clouds,2021-07-11 18:26:55
179,Pandan Niog,6.2282,120.5631,82.53,77,61,4.81,broken clouds,2021-07-11 18:26:56
180,Rapid Valley,44.0625,-103.1463,88.77,33,1,5.99,clear sky,2021-07-11 18:16:59
181,Abha,18.2164,42.5053,73.22,68,20,4.61,few clouds,2021-07-11 18:25:57
182,Teahupoo,-17.8333,-149.2667,69.76,82,70,21.88,light rain,2021-07-11 18:26:57
183,Danilov,58.1908,40.1717,66.06,66,1,4.16,clear sky,2021-07-11 18:26:57
184,Kruisfontein,-34.0033,24.7314,51.89,53,2,3.87,clear sky,2021-07-11 18:19:34
185,Palmer,42.1584,-72.3287,79.97,72,90,6.91,overcast clouds,2021-07-11 18:21:27
186,Rockingham,42.9668,-71.0995,84.83,67,98,1.01,overcast clouds,2021-07-11 18:23:05
187,Jalu,29.0331,21.5482,93.94,31,0,17.27,clear sky,2021-07-11 18:20:12
188,Arraial Do Cabo,-22.9661,-42.0278,78.76,64,0,11.5,clear sky,2021-07-11 18:24:41
189,Kirensk,57.7853,108.1119,55.98,98,100,3.24,overcast clouds,2021-07-11 18:26:58
190,Tazovskiy,67.4667,78.7,45.14,77,71,8.88,broken clouds,2021-07-11 18:26:58
191,Haines Junction,60.7522,-137.5108,51.75,62,100,3.44,overcast clouds,2021-07-11 18:26:59
192,Kandrian,-6.2167,149.55,76.1,91,91,5.12,light rain,2021-07-11 18:26:59
